subject,question,choice_A,choice_B,choice_C,choice_D,answer,answer_letter,split,first_piece,second_piece,generated_guided_completion,generated_general_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion,icl_evaluation
global_facts,"As of 2018, about what percentage of people from Tunisia say that having an increasing number of people of many different races, ethnic groups and nationalities in their country makes it a better place to live (as opposed to worse or no difference)?",24%,39%,54%,69%,0,A,test,"As of 2018, about what percentage of people from Tunisia say that having an increasing number of people of many different races, ethnic groups and",nationalities in their country makes it a better place to live (as opposed to worse or no difference)?,people who accept diversity.,foreign nationals,0.0,0.0,0.54,0.57,No
professional_psychology,Gestalt therapy is designed to achieve integration of,motive patterns and habit patterns,"thought, feeling, and action","past, present, and future",external and internal processes,1,B,test,Gestalt therapy is designed to,achieve integration of,help individuals process and understand their emotions,help individuals achieve self-awareness and personal responsibility.,0.18,0.0,0.58,0.56,No
high_school_computer_science,Which of the following best explains how data is typically assembled in packets for transmission over the Internet?,"Each packet contains data to be transmitted, along with metadata containing information used for routing the data.","Each packet contains an encrypted version of the data to be transmitted, along with metadata containing the key needed to decrypt the data.",Each packet contains only the metadata used to establish a direct connection so that the data can be transmitted.,"Each packet contains multiple data files bundled together, along with metadata describing how to categorize each data file.",0,A,test,Which of the following best explains how data is typically assembled,in packets for transmission over the Internet?,"A. By collecting structured information
B. By gathering unstructured data
C. By combining data from multiple sources
D. By filtering and organizing raw inputs",It generally involves integrating diverse information sources into a unified record to facilitate accurate analysis and communication.,0.0,0.0,0.5,0.52,No
world_religions,Which is one of the most fundamental themes of Japanese culture and civilization?,God is eternal and merciful to those who offer worship,Humans can align themselves with life energy through worship of kami,Justice will be the final outcome in the next world,Power and force are the most divine attributes,0,A,test,Which is one of the most fundamental themes,of Japanese culture and civilization?,A. B. C. D.,Love.,0.0,0.0,0.34,0.38,No
professional_law,"A man was out taking a walk one evening when he realized that he needed to use a bathroom. The closest building was a private gymnasium. The man approached the building, and saw a sign on the door that said, ""Members only No restroom facilities available for non-members. "" The owner of the gym hung up the sign because he knew that people frequently entered the gym just to use the restroom, and he was annoyed by this. However, the owner of the gym knew that the sign was not effective and that people still regularly entered the gym just to use the restroom. The man needed to use the bathroom very urgently, so he entered the building despite the sign. The restrooms were near the front door of the gymnasium. The man walked directly to the restroom as soon as he entered the building. The clerk working at the front desk in the gymnasium was busy and did not notice the man enter the building or the restroom. After making use of the restroom facilities, the man washed his hands and proceeded to turn on the electric blow dryer. The dryer, because of a malfunctioning heating coil, emitted intense heat, which caused severe burns to the man's hands. The man was unaware of the fact that 15 minutes earlier, a gym member had received similar injuries from the malfunctioning dryer and notified the gym's owner. The owner immediately taped a ""DO NOT USE"" sign to the dryer. However, the sign had fallen to the floor and was lying face down under the bathroom sink when the man was making use of the restroom. Which of the following would best describe the duty of care that the gym owed to the man?",No duty of care.,A duty to inspect the premises for unknown dangers and to disclose their existence to others.,A duty to warn of any known dangerous conditions on the premises.,An absolute duty of care.,2,C,test,"A man was out taking a walk one evening when he realized that he needed to use a bathroom. The closest building was a private gymnasium. The man approached the building, and saw a sign on the door that said, ""Members only No restroom facilities available for non-members. "" The owner of the gym hung up the sign because he knew that people frequently entered the gym just to use the restroom, and he was annoyed by this. However, the owner of the gym knew that the sign was not effective and that people still regularly entered the gym just to use the restroom. The man needed to use the bathroom very urgently, so he entered the building despite the sign. The restrooms were near the front door of the gymnasium. The man walked directly to the restroom as soon as he entered the building. The clerk working at the front desk in the gymnasium was busy and did not notice the man enter the building or the restroom.","After making use of the restroom facilities, the man washed his hands and proceeded to turn on the electric blow dryer. The dryer, because of a malfunctioning heating coil, emitted intense heat, which caused severe burns to the man's hands. The man was unaware of the fact that 15 minutes earlier, a gym member had received similar injuries from the malfunctioning dryer and notified the gym's owner. The owner immediately taped a ""DO NOT USE"" sign to the dryer. However, the sign had fallen to the floor and was lying face down under the bathroom sink when the man was making use of the restroom. Which of the following would best describe the duty of care that the gym owed to the man?",Question: What is the most reasonable conclusion based on the scenario described?,"The man entered the building and located the restroom facility near the front door. As soon as the clerk noticed the man approaching, she directed him to the nearest stall. The man gratefully thanked her for the help and secured a comfortable seat before leaving the building.",0.16,0.04,0.73,0.71,No
moral_scenarios,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I pulled my friend from the top of the waterfall. Scenario 2 | I served portions of Mud Pie made of real dirt to my young sister.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",2,C,test,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I pulled my friend from the top of the waterfall.",Scenario 2 | I served portions of Mud Pie made of real dirt to my young sister.,Scenario 2 | I tried to push myself into the waterfall.,Scenario 2 | I pushed a stranger toward a cliff edge to save myself.,0.28,0.31,0.65,0.66,No
high_school_world_history,"This question refers to the following information.
""Upon this a question arises: whether it be better to be loved than feared or feared than loved? It may be answered that one should wish to be both, but, because it is difficult to unite them in one person, it is much safer to be feared than loved, when, of the two, either must be dispensed with. Because this is to be asserted in general of men, that they are ungrateful, fickle, false, cowardly, covetous, and as long as you succeed they are yours entirely; they will offer you their blood, property, life, and children, as is said above, when the need is far distant; but when it approaches they turn against you. And that prince who, relying entirely on their promises, has neglected other precautions, is ruined; because friendships that are obtained by payments, and not by greatness or nobility of mind, may indeed be earned, but they are not secured, and in time of need cannot be relied upon; and men have less scruple in offending one who is beloved than one who is feared, for love is preserved by the link of obligation which, owing to the baseness of men, is broken at every opportunity for their advantage; but fear preserves you by a dread of punishment which never fails.""
Nicolo Machiavelli, The Prince, ca. 1513 C.E.
Which of the following best characterizes the author's attitude in the passage?",Cynicism about the loyalty of a ruler's subjects,Optimism about the fair-mindedness of political leaders,Criticism of the religious establishment,Ambivalence about the future of his economic prospects,0,A,test,"This question refers to the following information. ""Upon this a question arises: whether it be better to be loved than feared or feared than loved? It may be answered that one should wish to be both, but, because it is difficult to unite them in one person, it is much safer to be feared than loved, when, of the two, either must be dispensed with. Because this is to be asserted in general of men, that they are ungrateful, fickle, false, cowardly, covetous, and as long as you succeed they are yours entirely; they will offer you their blood, property, life, and children, as is said above, when the need is far distant; but when it approaches they turn against you. And that prince who, relying entirely on their promises, has neglected other precautions, is ruined; because friendships that are obtained by payments, and not by greatness or nobility of mind, may indeed be earned, but they are not secured, and in time of need cannot be relied upon; and men have less scruple in offending one who is beloved than one who is feared, for love is preserved by the link of obligation which, owing to the baseness of men, is broken at every opportunity for their advantage; but fear preserves you by a dread of punishment which never fails.""","Nicolo Machiavelli, The Prince, ca. 1513 C.E. Which of the following best characterizes the author's attitude in the passage?",What does the passage suggest regarding the reliability of friendship compared to fear?,"Therefore, the prudent course of action lies in recognizing that while affection binds the individual, it lacks the necessary permanence to withstand adversity, whereas the deterrent power of fear guarantees security even amidst the shifting tides of human nature. Consequently, the wise decision rests on choosing authority backed by the dread of consequence over the precarious bond of expectation tied solely to benevolent affection.",0.12,0.12,0.84,0.84,No
elementary_mathematics,Which statement is true?,All hexagons are triangles because they have at least 3 sides.,All octagons are polygons because they have at least 3 sides.,All parallelograms are rectangles because they have 2 sets of parallel sides.,All rhombi are squares because they have 4 sides that are all the same length.,1,B,test,Which statement,is true?,Which statement accurately reflects the fundamental principles of the biological cycle.,Which statement accurately reflects the main idea of the text provided?,0.0,0.0,0.55,0.41,No
professional_psychology,"With regard to sexual intimacies with supervisees, the ethics codes published by the American and Canadian Psychological Associations:",Do not prohibit sexual relationships with supervisees.,prohibit sexual relationships with supervisees under any circumstances.,prohibit sexual relationships with current supervisees only when the relationship will impair the psychologist’s objectivity and effectiveness as a supervisor.,prohibit sexual relationships with supervisees over whom the psychologist has evaluative authority.,3,D,validation,"With regard to sexual intimacies with supervisees, the ethics codes published",by the American and Canadian Psychological Associations:,require all personnel to maintain appropriate distance,that serve as the standard for professional conduct.,0.13,0.0,0.65,0.57,No
professional_law,"The State of Florida is prosecuting a former police officer for extortion of money from prostitutes. One of the State's witnesses is Sally. Sally has an adult conviction for vehicular homicide. She was charged with driving a car in a reckless manner resulting in the death of her sister, a passenger in the car. Sally pleaded nolo contendere, was adjudicated guilty and received a suspended sentence although she could have received a sentence of state imprisonment up to 5 years. At trial, evidence of this conviction is",admissible to impeach Sally because vehicular homicide carries a maximum penalty in excess of 1 year.,inadmissible to impeach Sally because she never admitted her guilt since she entered a plea of nolo contendere.,inadmissible to impeach Sally because she received a suspended sentence.,inadmissible to impeach Sally because she is only a witness and not the criminal defendant.,0,A,test,"The State of Florida is prosecuting a former police officer for extortion of money from prostitutes. One of the State's witnesses is Sally. Sally has an adult conviction for vehicular homicide. She was charged with driving a car in a reckless manner resulting in the death of her sister, a passenger in the car.","Sally pleaded nolo contendere, was adjudicated guilty and received a suspended sentence although she could have received a sentence of state imprisonment up to 5 years. At trial, evidence of this conviction is",The prosecution alleges she committed the crimes.,"Despite her prior criminal history, Sally was able to provide an authoritative account of the specific circumstances surrounding the vehicular accident.",0.15,0.05,0.56,0.61,No
