subject,question,choice_A,choice_B,choice_C,choice_D,answer,answer_letter,split,first_piece,second_piece,generated_guided_completion
professional_law,"A pet store owner opened a store in a new town. She was not aware that the city council had recently passed a law prohibiting the sale of cats and dogs from a retail pet store. The statute had a provision that allowed the pet store to give space to a non-profit humane society to adopt animals from the pet store. The owner sued the city in federal court, claiming a violation of due process and equal protection under the Fourteenth Amendment. The court used the rational basis test to conclude that the statute served a legitimate state interest and was enforceable. The pet store owner appealed the decision. Will the appellate court likely affirm the decision of the lower court?","Yes, because the pet store owner was not treated differently than any other pet store owner.","Yes, because the correct test requires only that the law in question will satisfy any set of facts that could establish a rational basis for achieving legitimate government ends.","No, the pet store owner has a vested constitutional right to earn a living and that is unreasonably precluded by the law in question.","No, because this ordinance is so invidiously discriminatory that it must pass the strict scrutiny test, which it fails to do.",1,B,test,"A pet store owner opened a store in a new town. She was not aware that the city council had recently passed a law prohibiting the sale of cats and dogs from a retail pet store. The statute had a provision that allowed the pet store to give space to a non-profit humane society to adopt animals from the pet store. The owner sued the city in federal court, claiming a violation of due process and equal protection under the Fourteenth Amendment.",The court used the rational basis test to conclude that the statute served a legitimate state interest and was enforceable. The pet store owner appealed the decision. Will the appellate court likely affirm the decision of the lower court?,The court held that the city's action is a valid exercise of its police powers to regulate local businesses.
high_school_psychology,Which part of the brain was thought to play the most important role in the Cannon-Bard theory of emotion?,thalamus,hippocampus,medulla,association areas,0,A,test,Which part of the brain was thought to play the most,important role in the Cannon-Bard theory of emotion?,important role in emotion?
medical_genetics,Severe anaemia at birth is a feature of what?,Alpha-thalassaemia,Beta-thalassaemia,Hereditary persistence of fetal haemoglobin,Sickle cell disease,0,A,test,Severe anaemia at birth is,a feature of what?,"A. sickle cell disease
B. iron deficiency anemia
C. thalassemia major
D. G6PD deficiency"
high_school_psychology,An obese individual with a breathing-related sleep disorder most likely suffers from which of the following?,Narcolepsy,Hypersomnia,Insomnia,Sleep apnea,3,D,test,An obese individual with a breathing-related sleep disorder most,likely suffers from which of the following?,likely to have hypertension.
professional_law,"A 13-year-old girl was operating a high-speed motorboat. The boat was towing a 9-year-old boy in an inner tube tied to the rear of the motorboat by a rope. The rope became tangled around the boy's foot, causing him to suffer severe injuries. In a suit brought on the boy's behalf against the girl, the boy has introduced uncontroverted evidence that the girl drove carelessly in such a way as to entangle the boy in the rope. Is the boy likely to prevail? ","No, because the boy assumed the risk.","No, because the girl was too young to be expected to appreciate and avoid the risk she expected to appreciate and avoid the risk she exposed the boy to.","Yes, because children of the girl's age should have the capacity to operate motorboats.","Yes, because the girl will be held to an adult standard of care.  ",3,D,validation,"A 13-year-old girl was operating a high-speed motorboat. The boat was towing a 9-year-old boy in an inner tube tied to the rear of the motorboat by a rope. The rope became tangled around the boy's foot, causing him to suffer severe injuries.","In a suit brought on the boy's behalf against the girl, the boy has introduced uncontroverted evidence that the girl drove carelessly in such a way as to entangle the boy in the rope. Is the boy likely to prevail?",The mother of the boy legally sues the operator. Is she entitled to recover damages under the doctrine of negligence?
professional_psychology,Kohlberg’s cognitive-developmental theory identifies which of the following as the initial stage of gender-role acquisition?,gender affirmation,gender identity,gender constancy,gender stability.,1,B,test,Kohlberg’s cognitive-developmental theory identifies which of the following as,the initial stage of gender-role acquisition?,moral stages of human development.
international_law,Which State exercises jurisdiction over vessels on the high seas?,All States may exercise jurisdiction over foreign vessels on the high seas,States may exercise jurisdiction over foreign vessels on the high seas only in cases of criminal activity that concerns them,"The flag State is to exercise exclusive jurisdiction over its vessels on the high seas, with the exception of specific cases, such as piracy",The flag State is the only State to exercise exclusive jurisdiction over its vessels on the high seas with no exception,2,C,test,Which State exercises jurisdiction over vessels,on the high seas?,?
high_school_psychology,The ability to solve a new computer game based on logical puzzles probably depends on which kind of intelligence?,fluid intelligence,crystallized intelligence,aptitude intelligence,achievement intelligence,0,A,test,The ability to solve a new computer game based on logical,puzzles probably depends on which kind of intelligence?,reasoning.
elementary_mathematics,Cat food costs $.47/lb. How much does a 6-lb bag cost?,$2.82 ,$2.97 ,$6.47 ,$12.77 ,0,A,test,Cat food costs $.47/lb.,How much does a 6-lb bag cost?,\nHow much does a 5 lb bag of cat food cost?
moral_disputes, Nathanson believes that killing another person in self-defense is compatible with,respect for the dignity of persons.,the principle of equality.,a consequentialist theory of punishment..,equality retributivism.,0,A,test, Nathanson believes that killing another person,in self-defense is compatible with,is wrong.
high_school_us_history,"This question refers to the following information.
""The challenge of the next half century is whether we have the wisdom to use wealth to enrich and elevate our national life, and to advance the quality of our American civilization….The Great Society rests on abundance and liberty for all. It demands an end to poverty and racial injustice, to which we are totally committed in our time. But that is just the beginning. The Great Society is a place where every child can find knowledge to enrich his mind and to enlarge his talents. It is a place where leisure is a welcome chance to build and reflect, not a feared cause of boredom and restlessness. It is a place where the city of man serves not only the needs of the body and the demands of commerce but the desire for beauty and the hunger for community. It is a place where man can renew contact with nature. It is a place which honors creation for its own sake and for what it adds to the understanding of the race. It is a place where men are more concerned with the quality of their goals than the quantity of their goods. But most of all, the Great Society is not a safe harbor, a resting place, a final objective, a finished work. It is a challenge constantly renewed, beckoning us toward a destiny where the meaning of our lives matches the marvelous products of our labor.""
Lyndon Johnson, Remarks at the University of Michigan, Ann Arbor, 1964
Which one of the following was an unintended consequence of the liberal successes of the 1960s?",Liberal Democrats abandoned anti-war protests in a show of support for President Johnson.,Conservative Republicans mobilized to defend traditional mores and curb government authority.,"Economic recession catalyzed by increased government spending causing ""stagflation.""","A majority of Northern black voters abandoned the Democrat party, siding with Republicans.",1,B,test,"This question refers to the following information. ""The challenge of the next half century is whether we have the wisdom to use wealth to enrich and elevate our national life, and to advance the quality of our American civilization….The Great Society rests on abundance and liberty for all. It demands an end to poverty and racial injustice, to which we are totally committed in our time. But that is just the beginning. The Great Society is a place where every child can find knowledge to enrich his mind and to enlarge his talents. It is a place where leisure is a welcome chance to build and reflect, not a feared cause of boredom and restlessness. It is a place where the city of man serves not only the needs of the body and the demands of commerce but the desire for beauty and the hunger for community. It is a place where man can renew contact with nature.","It is a place which honors creation for its own sake and for what it adds to the understanding of the race. It is a place where men are more concerned with the quality of their goals than the quantity of their goods. But most of all, the Great Society is not a safe harbor, a resting place, a final objective, a finished work. It is a challenge constantly renewed, beckoning us toward a destiny where the meaning of our lives matches the marvelous products of our labor."" Lyndon Johnson, Remarks at the University of Michigan, Ann Arbor, 1964
Which one of the following was an unintended consequence of the liberal successes of the 1960s?","\n\nAccording to the passage, the Great Society is a place where:"
high_school_mathematics,Eighty-five more than the square of a number is the same as the square of the quantity that is $17$ less than the number. What is the number?,17,6,2,11,1,B,test,Eighty-five more than the square of a number is the same as the square of the quantity that is $17$ less than the number.,What is the number?,"(A) 9
(B) -9
(C) 6
(D) 17"
professional_psychology,"In research study, a mother and her infant are alone in a room. A stranger enters and the mother leaves the room. When the mother returns to the room, the infant begins to cry and initially continues to do so even after being picked up by the mother. Eventually the infant settles down and returns to playing, apparently happily, with the toys provided. Which attachment classification is most likely to be appropriate for this infant",Disorganized,Anxious resistant,Avoidant,Secure,1,B,test,"In research study, a mother and her infant are alone in a room. A stranger enters and the mother leaves the room. When the mother returns to the room, the infant begins to cry and initially continues to do so even after being picked up by the mother.","Eventually the infant settles down and returns to playing, apparently happily, with the toys provided. Which attachment classification is most likely to be appropriate for this infant",\n\nWhich attachment pattern is this example of?
moral_disputes," Wellman accepts that there are other values besides the freedom of association, such as",egalitarian values concerning the elimination of inequalities that make people vulnerable to oppression.,libertarian values concerning individuals' property rights and freedom of movement.,both A and B,nothing; there are no values besides freedom of association,2,C,test, Wellman accepts that there are other values besides,"the freedom of association, such as",utilitarianism.
moral_scenarios,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I used my oversized SUV to block the fire station driveway. Scenario 2 | I broke a pencil while working on my final exam.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",1,B,validation,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I used my oversized SUV to block the fire station driveway.",Scenario 2 | I broke a pencil while working on my final exam.,\nScenario 2 | I donated all my money to a charity.
prehistory,A(n) _________ contains primary refuse; a _________ contains secondary refuse.,kitchen; garden,activity area; burial,picnic site; trash dump,activity area; recycling area,2,C,test,A(n) _________ contains primary refuse; a,_________ contains secondary refuse.,llandfill
high_school_us_history,"This question refers to the following information.
Perhaps, however, I am more conscious of the importance of civil liberties in this particular moment of our history than anyone else, because I travel through the country and meet people and see things that have happened to little people, I realize what it means to democracy to preserve our civil liberties.
All through the years we have had to fight for civil liberty, and we know that there are times when the light grows rather dim, and every time that happens democracy is in danger. Now, largely because of the troubled state of the world as a whole, civil liberties have disappeared in many other countries.
It is impossible, of course, to be at war and keep freedom of the press and freedom of speech and freedom of assembly. They disappear automatically. And so in many countries where ordinarily they were safe, today they have gone. In other countries, even before war came, not only freedom of the press and freedom of assembly, and freedom of speech disappeared, but freedom of religion disappeared.
And so we know here in this country, we have a grave responsibility. We are at peace. We have no reason for the fears which govern so many other peoples throughout the world; therefore, we have to guard the freedoms of democracy.
—Eleanor Roosevelt, Address to the American Civil Liberties Union, Chicago, Illinois, March 14, 1940
An example of the threat to civil liberties that concerned Roosevelt was which of the following?",The Social Security Act,Executive Order 9066 interning Japanese Americans,The G.I. Bill,The Baby Boom,1,B,test,"This question refers to the following information. Perhaps, however, I am more conscious of the importance of civil liberties in this particular moment of our history than anyone else, because I travel through the country and meet people and see things that have happened to little people, I realize what it means to democracy to preserve our civil liberties. All through the years we have had to fight for civil liberty, and we know that there are times when the light grows rather dim, and every time that happens democracy is in danger. Now, largely because of the troubled state of the world as a whole, civil liberties have disappeared in many other countries. It is impossible, of course, to be at war and keep freedom of the press and freedom of speech and freedom of assembly. They disappear automatically. And so in many countries where ordinarily they were safe, today they have gone.","In other countries, even before war came, not only freedom of the press and freedom of assembly, and freedom of speech disappeared, but freedom of religion disappeared. And so we know here in this country, we have a grave responsibility. We are at peace. We have no reason for the fears which govern so many other peoples throughout the world; therefore, we have to guard the freedoms of democracy. —Eleanor Roosevelt, Address to the American Civil Liberties Union, Chicago, Illinois, March 14, 1940
An example of the threat to civil liberties that concerned Roosevelt was which of the following?","According to the passage, what is the reason for the disappearance of civil liberties in many countries?"
miscellaneous,"A passage from Zora Neale Hurston's Their Eyes Were Watching God is as follows. The people all saw her come because it was sundown. The sun was gone, but he had left his footprints in the sky. It was the time for sitting on porches beside the road. It was the time to hear things and talk. These sitters had been tongueless, earless, eyeless conveniences all day long. Mules and other brutes had occupied their skins. But now, the sun and the bossman were gone, so the skins felt powerful and human. They became lords of sounds and lesser things. They passed nations through their mouths. They sat in judgment. The description of the sun in the second sentence contains which of the following literary devices?",Foreshadowing,Irony,Flashback,Personification,3,D,test,"A passage from Zora Neale Hurston's Their Eyes Were Watching God is as follows. The people all saw her come because it was sundown. The sun was gone, but he had left his footprints in the sky. It was the time for sitting on porches beside the road. It was the time to hear things and talk. These sitters had been tongueless, earless, eyeless conveniences all day long. Mules and other brutes had occupied their skins.","But now, the sun and the bossman were gone, so the skins felt powerful and human. They became lords of sounds and lesser things. They passed nations through their mouths. They sat in judgment. The description of the sun in the second sentence contains which of the following literary devices?","Based on the passage, which of the following best describes the role of the people sitting on the porch?"
high_school_geography,The tendency for migration to decrease with distance is called,push factors.,pull factors.,distance decay.,migration selectivity.,2,C,test,The tendency for migration to decrease,with distance is called,"with increasing distance between the origin and the destination.
A. with increasing distance between the origin and the destination
B. with decreasing distance between the origin and the destination
C. with increasing population density
D. with decreasing population density"
high_school_microeconomics,Good X is exchanged in a competitive market. Which of the following is true if an excise tax is now imposed on the production of good X?,"If the demand curve is perfectly elastic, the price rises by the amount of the tax.",The consumer's burden of the tax rises as the demand curve is more elastic.,Consumer surplus rises as a result of the tax.,The consumer's burden of the tax rises as the demand curve is less elastic.,3,D,test,Good X is exchanged in a competitive market.,Which of the following is true if an excise tax is now imposed on the production of good X?,the price is determined by supply and demand.
high_school_macroeconomics,Every choice results in a foregone best alternative which economists call the,accounting cost,switching cost,inferior cost,opportunity cost,3,D,test,Every choice results in a foregone best,alternative which economists call the,.
high_school_us_history,"This question refers to the following information.
""An act for the more effectual protection of the property of married women:
""§1. The real property of any female who may hereafter marry, and which she shall own at the time of marriage, and the rents, issues, and profits thereof, shall not be subject to the sole disposal of her husband, nor be liable for his debts, and shall continue her sole and separate property, as if she were a single female.
""§2. The real and personal property, and the rents, issues, and profits thereof, of any female now married, shall not be subject to the disposal of her husband; but shall be her sole and separate property, as if she were a single female, except so far as the same may be liable for the debts of her husband heretofore contracted.
""§3. Any married female may take by inheritance, or by gift, grant, devise, or bequest, from any person other than her husband, and hold to her sole and separate use, and convey and devise real and personal property, and any interest or estate therein, and the rents, issues, and profits thereof, in the same manner and with like effect as if she were unmarried, and the same shall not be subject to the disposal of her husband nor be liable for his debts.""
—Married Women's Property Act, New York State (1848)
The ideas expressed in the passage above most directly reflect which of the following continuities in U.S. history?",Debates about access to voting rights.,Debates about the role of federal government in marriage law.,Debates about discrimination in employment.,Debates about the legal status of women.,3,D,test,"This question refers to the following information. ""An act for the more effectual protection of the property of married women:
""§1. The real property of any female who may hereafter marry, and which she shall own at the time of marriage, and the rents, issues, and profits thereof, shall not be subject to the sole disposal of her husband, nor be liable for his debts, and shall continue her sole and separate property, as if she were a single female. ""§2. The real and personal property, and the rents, issues, and profits thereof, of any female now married, shall not be subject to the disposal of her husband; but shall be her sole and separate property, as if she were a single female, except so far as the same may be liable for the debts of her husband heretofore contracted.","""§3. Any married female may take by inheritance, or by gift, grant, devise, or bequest, from any person other than her husband, and hold to her sole and separate use, and convey and devise real and personal property, and any interest or estate therein, and the rents, issues, and profits thereof, in the same manner and with like effect as if she were unmarried, and the same shall not be subject to the disposal of her husband nor be liable for his debts."" —Married Women's Property Act, New York State (1848)
The ideas expressed in the passage above most directly reflect which of the following continuities in U.S. history?","Question: According to the text, under what condition would the real and personal property, and the rents, issues, and profits thereof, of any female now married be liable for the debts of her husband?"
marketing,"A framework categorizes different services, which, in turn, influence the degree to which market offerings can be evaluated, and three main properties are identified:","Search, experiment, and credence properties.","Search, experience, and credence properties.","Sell, trust, and credence properties.","Search, belief, and confidence properties.",1,B,test,"A framework categorizes different services, which, in turn, influence the degree to which market","offerings can be evaluated, and three main properties are identified:",segmentation is possible.
conceptual_physics,A wave transfers,amplitude,wavelength,frequency,energy,3,D,test,A wave,transfers,"traveling along a string has amplitude 2 cm, wavelength 8 cm, and frequency 6 Hz."
prehistory,What do anthropologists NOT need to know to determine when people entered the Americas from Siberia?,When sled dogs were first domesticated,When the Bering Strait was exposed and open for travel,When eastern Siberia was first inhabited,The age of the earliest New World sites,0,A,test,What do anthropologists NOT need to know to determine,when people entered the Americas from Siberia?,whether two populations are closely related?
miscellaneous,The process of drilling holes in the skull is called what?,bifurcation,trepanation,aeronomy,skullduggery,1,B,test,The process of drilling holes in the,skull is called what?,earth.
security_studies,In what ways have governments responded to the threat of TNC post-Cold War?,State responses to transnational crime have evolved in correlation to the increased threat posed to the integrity of the state. Organized crime has been regarded primarily as a national security threat to be addressed domestically. The institutionalized international approaches for information sharing have been predominately bilateral to the extent of bringing to justice perpetrators of crime that are seeking to evade justice.,"With the expansion of TNC in the 1990s, states became increasingly willing to take measures to reduce the asymmetries between countries through harmonization of legislation and increasing police capacity and networking. The government response to transnational crime has focused on targeting the individuals and organizations perpetrating the crime, rather than the criminal markets themselves.",The US war on drugs has heavily influenced the construction of the governmental response to the growing perception that the phenomenon of TNC represents a national security threat. The approach has an emphasis on bilateral and multilateral cooperation on law enforcement combined with sticks on a bi-lateral basis to induce states to increase regulation and enforcement against TNC.,The emergence of norms governing the response to address the spectre of organized crime and to harmonize legislation occurred with the evolving Global War on Terror in which the terrorism-organized crime nexus resulted in the militarization of law enforcement: the use of military technology and intelligence as opposed to addressing the underlying conditions that facilitate illicit trade through an international institutionalist response.,1,B,test,In what ways have governments responded to the,threat of TNC post-Cold War?,2008 financial crisis?
high_school_macroeconomics,Which of the following is true of money and financial markets?,As the demand for bonds increases the interest rate increases.,For a given money supply if nominal GDP increases the velocity of money decreases.,When demand for stocks and bonds increases the asset demand for money falls.,A macroeconomic recession increases the demand for loanable funds.,2,C,test,Which of the following is true of,money and financial markets?,the structure of DNA.
high_school_macroeconomics,Theo loses his job at the public swimming pool when the pool closes for the winter. This is an example of,cyclical unemployment.,discouraged worker.,seasonal unemployment.,frictional unemployment.,2,C,test,Theo loses his job at the public swimming pool when the pool closes for the winter.,This is an example of,\n\n He seeks employment elsewhere.
college_medicine,"A young adult man begins seeing a therapist and tells the therapist that he has homosexual feelings, and that he self-identifies as gay. He is plagued by feelings of worthlessness and fears that he will be subject to what his religion terms “eternal damnation”. He feels alienated from his family and friends, as he knows of no other homosexuals in his peer group or family. In the course of working with the man, the therapist helps him see that his feelings are exceptionally common among people who have recently discovered their same-sex feelings, and encourages him to attend a support group for newly “out” gay men. The therapist’s approach demonstrates which of the following phenomena?",Stereotype threat,Groupthink,Universalization,Spatial discrimination,2,C,validation,"A young adult man begins seeing a therapist and tells the therapist that he has homosexual feelings, and that he self-identifies as gay. He is plagued by feelings of worthlessness and fears that he will be subject to what his religion terms “eternal damnation”. He feels alienated from his family and friends, as he knows of no other homosexuals in his peer group or family.","In the course of working with the man, the therapist helps him see that his feelings are exceptionally common among people who have recently discovered their same-sex feelings, and encourages him to attend a support group for newly “out” gay men. The therapist’s approach demonstrates which of the following phenomena?",Which of the following is the most likely diagnosis?
abstract_algebra,"Statement 1 | If H and K are subgroups of G and one of H or K is normal subgroup of G, then HK is a subgroup of G. Statement 2 | All groups of order p^2 where p is prime are Abelian.","True, True","False, False","True, False","False, True",0,A,test,"Statement 1 | If H and K are subgroups of G and one of H or K is normal subgroup of G, then HK is",a subgroup of G. Statement 2 | All groups of order p^2 where p is prime are Abelian.,
human_sexuality,Menstruation is triggered by...,...a sharp increase in estrogen levels,...a sharp increase in progesterone levels,...a sharp decrease in estrogen and progesterone levels,...a sharp increase in estrogen and progesterone levels,2,C,test,Menstruation is,triggered by...,the periodic shedding of the uterine lining.
moral_scenarios,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I gave the thirsty 13 year old a glass of milk. Scenario 2 | I used dishwashing liquid to clean the dishes.","Wrong, Wrong","Wrong, Not wrong","Not wrong, Wrong","Not wrong, Not wrong",3,D,test,"For which of these two scenarios does the main character (who uses I/me/my) do something clearly morally wrong, according to ordinary moral standards in the US as of 2020? Scenario 1 | I gave the thirsty 13 year old a glass of milk.",Scenario 2 | I used dishwashing liquid to clean the dishes.,Scenario 2 | I ignored the crying baby left alone in the car.
public_relations,What is the major advantage of organizational publications?,Their ability to provide a revenue source for sponsoring organizations,"Their ability to deliver specific, detailed information to narrowly defined target publics",Their ability to avoid the problems typically associated with two-way media,Their ability to give sponsoring organizations a means of uncontrolled communications,1,B,test,What is the major advantage,of organizational publications?,of the printing press?
astronomy,Which of the following statements about sidereal and solar days is not true?,The time it takes for the Sun to make one circuit of our sky is one solar day.,A solar day is 4 minutes longer than a sidereal day.,A solar day represents more than 360° of rotation for the earth.,The time it takes for the Moon to make one circuit of our sky is one solar day.,3,D,test,Which of the following statements about sidereal and,solar days is not true?,synodic periods is correct?
international_law,What types of force does Article 2(4) of the UN Charter prohibit?,Article 2(4) encompasses only armed force,"Article 2(4) encompasses all types of force, including sanctions",Article 2(4) encompasses all interference in the domestic affairs of States,Article 2(4) encompasses force directed only against a State's territorial integrity,0,A,dev,What types of force does Article 2(4),of the UN Charter prohibit?,prohibit?
