id,source,group,subject,level,language,subset,question,choice_A,choice_B,choice_C,choice_D,choice_E,answer,split,first_piece,second_piece,generated_guided_completion,generated_general_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion,icl_evaluation
17375,https://itest.kz/kz/endless,STEM,Physics,High School,Kazakh,Physics (High School in kaz),"Белгілі бір процесс кезінде газ 5 МДж жұмыс атқарады. Осы кезде ішкі энергия 2 МДж-ға кемісе, газға берілген жылу мөлшері","3,0 МДж","7,0 МДж","5,0 МДж",10 МДж,,A,test,Белгілі бір процесс кезінде газ 5 МДж жұмыс атқарады.,"Осы кезде ішкі энергия 2 МДж-ға кемісе, газға берілген жылу мөлшері",Белгілі бір процесс кезінде газ 5 МДж жұмыс атқарады. Есепті шешу үшін,Сондықтан газдың ішкі энергиясының өзгерісін анықтау үшін қосылған жылу мөлшерін есептеу қажеттілік туындады.,0.0,0.0,0.66,0.28,No
11031,https://itest.kz/kz/endless,Language,Kazakh_Language,High School,Kazakh,Kazakh Language (High School in kaz),Буын қандай дыбыстар арқылы жасалатынын көрсетіңіз.,Қатаң,Дауысты,Үнді,Ұяң,,B,test,Буын қандай дыбыстар арқылы,жасалатынын көрсетіңіз.,,оқырманға көңіл бөлу үшін,0.0,0.0,0.51,0.51,No
12603,https://itest.kz/kz/endless,Humanities,Kazakh_Literature,High School,Kazakh,Kazakh Literature (High School in kaz),Жошы ханның баласының өлімін қандай аспаппен естірткенін көрсетіңіз.,Домбырамен,Қобызбен,Сырнаймен,Сыбызғымен,,A,test,Жошы ханның баласының өлімін қандай,аспаппен естірткенін көрсетіңіз.,,"""... **тәжірибесімен** еді."" (based on experience).",0.0,0.0,0.34,0.31,No
5382,https://oltest.kz/tests/vospitanie_i_obuchenie/,Humanities,Education and training ,University,Russian,Education and Training (Professional & University in rus),"В содержание физического воспитания в средней школе входит:
","Развитие и пропаганда физической культуры и спорта
","Подготовка к труду, защите Родины, активному участию в жизни общества и укреплению здоровья учащихся
","Укрепление здоровья учащихся, подготовка к труду, привитие навыков здорового образа жизни
","Пропаганда здорового образа жизни, физической культуры
","Укрепление здоровья учащихся, подготовку к труду, защите Родины, участию в жизни общества, формирование спортивных навыков здорового образа жизни
",E,test,В содержание физического воспитания в,"средней школе входит:
",включает в себя,в рамках обучения,0.0,0.0,0.35,0.45,No
16537,https://oltest.kz/tests/medicina/,STEM,Medicine,University,Russian,Medicine (Professional & University in rus),"Полное созревание скелета завершается:
","На 7-8 году жизни
","40-45 годам жизни
","После 50 лет
","На 21-24 году жизни
","На 33-35 году жизни
",D,test,Полное созревание,"скелета завершается:
",это завершающий этап развития,"Полное созревание является завершающим этапом жизненного цикла растения, после которого оно переходит в фазу покоя и готовности к уборке урожая.",0.0,0.0,0.46,0.56,No
15500,https://itest.kz/ru/endless,STEM,Math,High School,Russian,Math (High School in rus),"Упростите выражение.
\(\frac{(3^n+3^{n-1})^2}{9^{n-1}}\)",\(27\),\(9\),\(3\),\(16\),,D,test,Упростите выражение.,\(\frac{(3^n+3^{n-1})^2}{9^{n-1}}\),x^2 - x + 1,Дано выражение: \( 3x^2 - 4x + 2 \).,0.14,0.29,0.67,0.52,No
18194,https://itest.kz/ru/endless,STEM,Physics,High School,Russian,Physics (High School in rus),"Если энергия фотона Е, то частота света равна",\(\frac Eh\),\(\frac Ec\),\(E\cdot2h_2\),\(E\cdot h\),,A,test,"Если энергия фотона Е, то",частота света равна,и её частота,равно произведению частоты света и постоянной Планка,0.0,0.0,0.46,0.54,No
2615,https://oltest.kz/tests/biologiya/,STEM,Biology,University,Russian,Biology (Professional & University in rus),"Сколько процентов гидроэнергетических ресурсов сосредоточено в Прибалхашье?
",0.52,0.02,0.42,0.32,0.62,C,test,Сколько процентов гидроэнергетических ресурсов,"сосредоточено в Прибалхашье?
",Сколько процентов гидроэнергетических ресурсов на территории Российской Федерации составляют?,Всего в мире они составляют около 10%,0.0,0.0,0.47,0.55,No
1584,https://ymnik.kz/tests_old/biology/?v=29,STEM,Biology,High School,Russian,Biology (High School in rus),Кость мозгового отдела черепа,Лобная,Нижнечелюстная,Верхнечелюстная,Носовая,Скуловая,A,test,Кость мозгового,отдела черепа,Защищает головной мозг.,Кости мозгового черепа,0.0,0.0,0.61,0.32,No
19614,https://itest.kz/ru/endless,Humanities,Russian_Language,High School,Russian,Russian Language (High School in rus),Собирательное числительное есть в словосочетании,Четвертый класс,Четыре рейса,Четверых медвежат,Четырёх друзей,,C,test,Собирательное числительное есть,в словосочетании,это понятие,и обозначает количество однородных членов.,0.0,0.0,0.46,0.7,No
13291,https://itest.kz/kz/endless,Humanities,Law,High School,Kazakh,Law (High School in kaz),Жалқыдан жалпыға қозғалыс көрсететін жалпы ғылыми әдіс,Дедукция,Индукция,Синтез,Анализ,,B,test,Жалқыдан жалпыға қозғалыс көрсететін,жалпы ғылыми әдіс,Жалпы жағдайда,анықтамасына,0.0,0.0,0.61,0.56,No
