id,domain,subject,question,choice_A,choice_B,choice_C,choice_D,answer,instruction,split,first_piece,second_piece,generated_guided_completion,generated_general_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion
665,clinical_knowledge,Медицина,Через какой промежуток времени интенсивные динамические упражнения становятся преимущественно аэробными?,10 секунд,30 секунд,1 минута,4 минуты,C,"Дан вопрос по теме {subject}: {text}. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Определи, какой вариант ответа правильный. Напиши только букву этого ответа: A, B, C, D. Ответ:",test,Через какой промежуток времени интенсивные динамические,упражнения становятся преимущественно аэробными?,нагрузки на организм человека снижаются?,Через какой промежуток времени интенсивные динамические упражнения следует повторять?,0.0,0.0,0.53,0.53
10208,prehistory,История,Архитектура инков известна своим:,"сочетание дерева, земли и камня.",беспрецедентный размер и изысканность.,"точная каменная кладка, похожая на мозаику.",использование сводчатой арки.,C,"В вопросе ""{text}"" по теме ""{subject}"" есть только один правильный ответ. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Все варианты индексируются одной буквой. Найди правильный ответ и выведи только его букву. Ответ:",test,Архитектура инков,известна своим:,"представляет собой сложную систему, в которой каждый элемент был тщательно спроектирован и взаимосвязан. Центральным элементом этой архитектуры были города, такие как Куско, которые служили административными, религиозными и экономическими центрами империи. Дома в этих городах были построены из камня и глины, а их планировка отражала социальную иерархию общества. Дороги и мосты, соединявшие различные части империи, были построены с использованием передовых инженерных технологий, что позволяло быстро перемещать войска и товары.","Архитектура инков — это уникальное наследие древней цивилизации, расцвет которой пришелся на период с XII по XVI век. Отличительной чертой построек инков является использование огромных каменных блоков, подогнанных друг к другу с такой точностью, что между ними не проскальзывает даже лезвие ножа. Этот метод, известный как «асадж», позволял зданиям выдерживать мощные землетрясения, характерные для Анд.

Самым известным примером такой архитектуры является город-крепость Маチュ-Пикчу, расположенный на высоте более 2400 метров над уровнем моря. Также стоит упомянуть город Куско, который инки называли «Око мира», и императорский дворец Кориканча. Несмотря на то, что многие храмы были разрушены испанскими конкистадорами, фундаменты и основные стены сохранились, демонстрируя высочайший уровень инженерного мастерства и эстетического вкуса древних строителей.",0.0,0.0,0.48,0.48
1993,electrical_engineering,Информационные технологии,"Однофазный полномостовой инвертор может работать в режиме коммутации нагрузки в случае, если нагрузка состоит из",RL.,RLC с пониженным демпфированием.,RLC с избыточным демпфированием.,RLC с критическим демпфированием.,B,"Найдите правильный ответ на вопрос по теме {subject} в задании ниже. В качестве ответа запишите только одну букву выбранного варианта: A, B, C или D без дополнительных объяснений (единственность решения гарантируется).
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,Однофазный полномостовой инвертор может работать в режиме коммутации нагрузки,"в случае, если нагрузка состоит из","напряжением, равным напряжению источника питания.",Однофазный полномостовой инвертор может работать в режиме коммутации нагрузки **либо в режиме коммутации источника.**,0.0,0.0,0.63,0.65
13296,security_studies,Политика,"Какое из приведенных ниже утверждений не является одной из восьми тем постмарксистской теории критической безопасности, определенных Кеном Бутом как важные для теории критической безопасности?",Любое знание - это социальный процесс.,Проверка теории - это эмансипация.,Человеческое общество - это постоянное и неизменяющееся явление.,Человеческое общество - это его собственное изобретение.,C,"Реши задачу по теме {subject}
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,Какое из приведенных ниже утверждений не является одной из восьми тем постмарксистской теории критической,"безопасности, определенных Кеном Бутом как важные для теории критической безопасности?","радикальной демократии?
1. Эмпиризм
2. Гегельянство
3. Постструктурализм
4. Феминизм
5. Экологизм
6. Теория множественности
7. Теория множественности
8. Теория множественности",радикальной демократии?,0.0,0.0,0.52,0.35
12003,professional_law,Право,"Женщина, страдающая ожирением, записалась на программу похудения, которая обещала снижение веса до рекомендованной врачом нормы. В рекламных материалах утверждалось, что запатентованные методы и пищевые добавки являются ""чудесным открытием"", которое поможет любому человеку в течение 24 месяцев. Стоимость программы составляла 1000 $ в месяц; за два года женщина заплатила в общей сложности 24000 $, но сбросила всего 6 фунтов и осталась с чрезмерным ожирением. Бывший сотрудник программы рассказал ей, что никакого патента не существует, никакого чудесного открытия нет, а добавки ничем не отличаются от обычных витаминов. Она подала в суд на программу за введение в заблуждение. Сможет ли она выиграть дело?","Нет, потому что заявления, которые являются простым ""надувательством"" или мнением, не могут быть основанием для введения в заблуждение.","Да, поскольку программа была обязана полностью раскрыть перед ней все факты.","Нет, потому что она не могла обоснованно полагаться на невероятные утверждения, которые были сделаны.","Да, потому что программа сознательно сделала ложные фактические заявления, на которые клиентка положилась.",D,"Найдите правильный ответ на вопрос по теме {subject} в задании ниже. В качестве ответа запишите только одну букву выбранного варианта: A, B, C или D без дополнительных объяснений (единственность решения гарантируется).
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,"Женщина, страдающая ожирением, записалась на программу похудения, которая обещала снижение веса до рекомендованной врачом нормы. В рекламных материалах утверждалось, что запатентованные методы и пищевые добавки являются ""чудесным открытием"", которое поможет любому человеку в течение 24 месяцев. Стоимость программы составляла 1000 $ в месяц; за два года женщина заплатила в общей сложности 24000 $, но сбросила всего 6 фунтов и осталась с чрезмерным ожирением. Бывший сотрудник программы рассказал ей, что никакого патента не существует, никакого чудесного открытия нет, а добавки ничем не отличаются от обычных витаминов.",Она подала в суд на программу за введение в заблуждение. Сможет ли она выиграть дело?,"В результате женщина подала в суд на компанию, требуя возмещения убытков. Судья постановил, что компания должна выплатить женщине компенсацию в размере 24000 $, так как ее действия были мошенническими.","Оскорбленная и разочарованная женщина обратилась в местную прокуратуру с жалобой на мошенничество. После тщательного расследования было установлено, что компания намеренно вела ложную рекламу, скрывала отсутствие реальных научных разработок и использовала психологическое давление, чтобы заставить клиентов платить огромные суммы за неэффективные услуги. В результате суд обязал организацию вернуть женщине все 24 000 долларов, выплатить штраф и опубликовать официальное извинение, предупреждая других потенциальных жертв о подобных схемах.",0.0,0.0,0.8,0.87
12511,professional_psychology,Общество,"Действующие правовые и этические стандарты требуют, чтобы на каждого пациента велась запись о лечении. Как минимум, эта запись о лечении должна включать","исходные данные: согласие с когнициями, грезами и фантазиями пациента; даты обслуживания и выставления счетов; прогресс пациента",диагнозы; исходные данные; план лечения; даты оказания услуг и выставления счетов; прогресс в выполнении плана лечения,"диагнозы; исходные данные; содержание когниций, грез и фантазий пациента; даты оказания услуг и выставления счетов; прогресс в выполнении плана лечения",исходные данные; даты оказания услуг и выставления счетов; прогресс пациента,B,"Задание содержит вопрос по теме {subject} и 4 варианта ответа A, B, C, D, из которых только один правильный. Выберите букву правильного ответа:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,"Действующие правовые и этические стандарты требуют, чтобы на каждого пациента велась запись о лечении.","Как минимум, эта запись о лечении должна включать","Каждый пациент имеет право знать, что о нем ведется запись, и получать доступ к этой информации.","Эта запись должна содержать полную информацию о диагнозе, проведенных процедурах, назначенных лекарствах и результатах обследований, что обеспечивает преемственность медицинской помощи и защиту прав пациента.",0.0,0.0,0.78,0.77
231,prehistory,История,"По словам Тимоти Покетата, свидетельства социального расслоения и политической власти в Кахокии указывают на:","центр миссисипской цивилизации с условиями, похожими на возникновение ранних государств.",ограничения власти в индейском обществе эгалитарных собирателей.,"простое вождество или, возможно, сложное вождество сформировавшееся к 1500 году.","центр миссисипской цивилизации с условиями, схожими с обществами на Северо-Западном побережье Северной Америки.",A,"Задание содержит вопрос по теме {subject} и 4 варианта ответа A, B, C, D, из которых только один правильный. Выберите букву правильного ответа:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",train,"По словам Тимоти Покетата, свидетельства социального расслоения и",политической власти в Кахокии указывают на:,"неравенства в США, которые он приводит в своей книге «Постправда», являются результатом действия механизма, который он называет «эхо-камерами».","По словам Тимоти Покетата, свидетельства социального расслоения и неравенства в современном обществе становятся все более очевидными и тревожными.",0.0,0.0,0.49,0.42
3837,high_school_macroeconomics,Экономика,Экономика X - это открытая экономика с гибкими обменными курсами. Экономика Y закрыта. При прочих равных условиях экспансионистская денежно-кредитная политика является,"более эффективна в X, поскольку политика приведет к увеличению чистого экспорта.","более эффективна в X, поскольку политика приведет к сокращению чистого экспорта.",одинаково эффективна в X и Y.,"менее эффективна в X, поскольку политика приведет к сокращению чистого экспорта.",D,"Вопрос:
{text}. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Используй знания по теме {subject} и выбери правильный ответ. Выведи только одну букву. Ответ:",test,Экономика X - это открытая экономика с гибкими обменными курсами. Экономика Y закрыта.,При прочих равных условиях экспансионистская денежно-кредитная политика является,Сравните их валютные курсы.,"В экономике X цены на товары и услуги определяются рыночным спросом и предложением, а также колебаниями валютного курса. В экономике Y цены устанавливаются государством, а внешняя торговля либо полностью запрещена, либо строго ограничена квотами и лицензиями.",0.0,0.0,0.42,0.47
3232,high_school_computer_science,Информационные технологии,Что из перечисленного является наиболее вероятной проблемой конфиденциальности данных в обновленной системе?,"Личная информация клиентов может быть скомпрометирована, если неавторизованное лицо получит доступ к базе данных сеансов звонков.","Хранение информации в базе данных сеанса вызова позволяет отдельным лицам легко обмануть систему, используя вредоносные ссылки.","Конструкция системы увеличивает вероятность того, что клиенты неосознанно установят на свои устройства вредоносное ПО, которое передаст их данные неавторизованным лицам.",Конструкция системы позволяет неавторизованным лицам легко получать личные ключи шифрования клиентов.,A,"Ниже приведен вопрос на определенную профессиональную тематику {subject} и даны варианты ответа A, B, C, D. Гарантируется, что только один из ответов правильный.
Правильно ответьте на вопрос, выбрав букву A, B, C или D:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,Что из перечисленного является наиболее вероятной проблемой,конфиденциальности данных в обновленной системе?,при использовании метода случайного леса для регрессии?,при использовании этого метода?,0.0,0.0,0.55,0.27
12537,professional_psychology,Общество,"Согласно описанию Кобаса и др. (1982), личностная характеристика выносливости характеризуется следующим?","уверенностью, компетентностью и контролем","приверженностью, вызовом и контролем","здравым смыслом, приверженностью и способностью","способностью, вызовом и приверженностью",B,"Вопрос:
{text}. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Используй знания по теме {subject} и выбери правильный ответ. Выведи только одну букву. Ответ:",test,Согласно описанию Кобаса и др.,"(1982), личностная характеристика выносливости характеризуется следующим?","Кобаса и др. (2019) описывают, что в русском языке существует явление, при котором глагол может иметь форму, которая не совпадает с формой, ожидаемой на основе стандартных правил согласования. Это явление известно как ""неожиданное согласование"". В частности, они отмечают, что некоторые глаголы могут принимать форму, которая обычно ассоциируется с другими глаголами или с другими временными формами. Например, глагол ""быть"" может принимать форму, которая обычно используется с другими глаголами в определенных контекстах. Это явление является частью более широкой категории грамматических аномалий, которые наблюдаются в русском языке.","в исследовании 2018 года было установлено, что использование мобильных приложений для изучения иностранных языков значительно повышает мотивацию учащихся и улучшает их коммуникативные навыки по сравнению с традиционными методами обучения.",0.0,0.0,0.3,0.44
