id,source,group,subject,level,language,subset,question,choice_A,choice_B,choice_C,choice_D,choice_E,answer,split,first_piece,second_piece,generated_guided_completion,generated_general_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion
4923,https://oltest.kz/tests/ekonomika_i_predprinimatelstvo/,"Social Science





",Economics and Entrepreneurship ,University,Russian,Economics and Entrepreneurship (Professional in rus),"Дебиторская задолженность отражается в ...
","инвентарной книге
","отчете об изменениях в собственном капитале
","бухгалтерском балансе
","отчете кассира
","кассовой книге
",C,test,Дебиторская задолженность отражается,"в ...
",в активе баланса.,"в бухгалтерском учете и отчетности как актив, так как представляет собой право требования к дебиторам по возврату денежных средств за отгруженные товары, выполненные работы или оказанные услуги.",0.0,0.0,0.56,0.82
8006,https://itest.kz/kz/endless,STEM,Informatics,High School,Kazakh,Informatics (High School in kaz),Ақпарат пайдалану мақсатына қарай қалай бөлінеді?,"визуалды, тактильді, дәм сезу, дыбыстық","мәтіндік, цифрлық, графикалық, бейнеақпарат","маңызды, шынайы, түсінікті, толық, пайдалы","жалпы, арнайы, жеке, құпия",,D,test,Ақпарат пайдалану мақсатына қарай,қалай бөлінеді?,"ақпараттық ресурстарға бөлінеді: ақпараттық ресурстар, ақпараттық қызметтер және ақпараттық технологиялар.","Ақпарат пайдалану мақсатына қарай оны талдау, сақтау, жеткізу немесе өңдеу болып бөлінеді.",0.0,0.0,0.75,0.69
3489,https://itest.kz/kz/endless,STEM,Chemistry,High School,Kazakh,Chemistry (High School in kaz),Глюкозаның массалық үлесі 10% массасы 900 г ерітіндісін даярлау үшін гидролизденетін сахарозаның массасы,181 г,171 г,57 г,191 г,,B,test,Глюкозаның массалық үлесі 10% массасы 900 г ерітіндісін,даярлау үшін гидролизденетін сахарозаның массасы,дайындау үшін қанша грамм глюкоза қажет?,тұзды 10 г-ға дейін көбейту үшін қанша су қосу керек екенін есептеңіз.,0.0,0.0,0.65,0.78
10880,https://ymnik.kz/tests_old/kazakh_kz/?v=19,Language,Kazakh_Language,High School,Kazakh,Kazakh Language (High School in kaz),Басқа тілден енген сөздер қалай аталатынын айтыңыз.,Қос сөздер.,Кірме сөздер.,Архаизм.,Жаңа сөздер.,Көнерген сөз.,B,test,Басқа тілден енген сөздер,қалай аталатынын айтыңыз.,Басқа тілден енген сөздер. 1. Араб тілінен енген сөздер. 2. Орыс тілінен енген сөздер. 3. Түркі тілдерінен енген сөздер. 4. Еуропа тілдерінен енген сөздер. 5. Қытай тілінен енген сөздер.,"Басқа тілден енген сөздер – бұл ұлттық тілдің даму тарихындағы маңызды құбылыс. Олар көбінесе сауда, ғылым, мәдениет және әскери істер салаларындағы жаңа ұғымдарды білдіру үшін қажет болғандықтан, бірнеше ғасыр бұрын басталып, бүгінгі күнге дейін сақталып келеді. Қазақ тілінде орыс, араб, парсы, түрік және кейбір жапон сөздері кеңінен таралған. Мысалы, «компьютер», «интернет», «демократия» сияқты сөздер заманауи өмірде ажырамас бөлікке айналса, «қалам», «кітап», «мұғалім» сияқты сөздер араб тілінен енген екені белгілі. Бұл сөздер тіл байлығын байытып, оны әлемдік деңгейдегі басқа тілдермен байланыстыруға мүмкіндік береді. Дегенмен, оларды дұрыс қолдану және қазақша баламаларын іздеу тілді таза сақтау үшін өте маңызды.",0.0,0.0,0.5,0.67
12946,https://itest.kz/kz/endless,Humanities,Law,High School,Kazakh,Law (High School in kaz),Ел аумағында уақыттың белгілі бір кезеңі (әдетте 1 жыл) ішінде жасалған соңғы тауарлар мен көрсетілетін қызметтердің жиынтық кұны:,Жалпы ішкі өнім,Жалпы ұлттық өнім,Депозит,Ұлттық байлық,,A,test,Ел аумағында уақыттың белгілі бір кезеңі (әдетте 1 жыл) ішінде жасалған,соңғы тауарлар мен көрсетілетін қызметтердің жиынтық кұны:,жаратылыш ресурстарының айналымын сипаттайтын көрсеткіш – бұл,"Ел аумағында уақыттың белгілі бір кезеңі (әдетте 1 жыл) ішінде жасалған **барлық туған-туыстардың, туған күндерінің, мерекелерінің және басқа да маңызды оқиғалардың тізімі**.

*(Бұл сөйлем әдетте ""Туу туралы есеп"" немесе ""Туу тізімі"" анықтамасын білдіреді.)*",0.0,0.0,0.54,0.78
19017,https://itest.kz/ru/endless,Humanities,Russian_Language,High School,Russian,Russian Language (High School in rus),Возвратное деепричастие,Углублялся,Углубляемый,Углубляясь,Углубляющийся,,C,test,Возвратное,деепричастие,ное время,"Возвратное действие совершается лицом, направленным на самого себя.",0.0,0.0,0.32,0.38
22386,https://ymnik.kz/tests_old/worldhistory/?v=9,Humanities,World_History,High School,Russian,World History (High School in rus),Первым рейхсканцлером Германской империи был:,Вильгельм I,Ллойд Джордж,Бисмарк,Бебель,Клемансо,C,test,Первым рейхсканцлером Германской,империи был:,Империи был Отто фон Бисмарк.,Первым рейхсканцлером Германской империи стал Отто фон Бисмарк.,0.0,0.0,0.73,0.83
17049,https://itest.kz/kz/endless,STEM,Physics,High School,Kazakh,Physics (High School in kaz),Изохоралық процесте газға \(4 \cdot 10^{10}\) Дж жылу берілген. Газдың ішкі жнергиясы мен жұмысы,\(\Delta U = 0; A= 4 \cdot 10^{10} \) \(Дж\),\(\Delta U = 0; A = 0\),\(\Delta U = 4 \cdot 10^{10} Дж; A = 0 \) \(Дж\),\(\Delta U = 4\cdot 10^{10} Дж; A = 2\cdot 10^{10}\) \( Дж\),,C,test,Изохоралық процесте газға \(4 \cdot 10^{10}\) Дж жылу берілген.,Газдың ішкі жнергиясы мен жұмысы,Газдың ішкі энергиясы қаншаға өзгерді?,"Осы процесте газдың ішкі энергиясы өзгермейді, сондықтан берілген барлық жылу мөлшері газдың жұмысына жұмсалады.",0.0,0.0,0.73,0.75
10215,https://ymnik.kz/tests_old/history/?v=25,Humanities,Kazakh_History,High School,Russian,Kazakh History (High School in rus),"Орудие труда, используемое андроновцами для скашивания сена и уборки урожая:",Серп.,Мотыга.,Соха.,Плуг.,Лопата.,A,test,"Орудие труда, используемое андроновцами для скашивания",сена и уборки урожая:,сена — это серп.,"Орудие труда, используемое андроновцами для скашивания злаков, — это **серп** (или серпообразный топор).

Эти орудия изготавливались из камня (чаще всего из кремня или обсидиана) и часто имели деревянную рукоять. Археологические находки на стоянках андроновской культуры (например, в Казахстане и на Алтае) подтверждают использование таких серпов для сбора урожая зерновых культур, что свидетельствует о развитом земледелии в этом периоде.",0.0,0.0,0.45,0.59
4490,https://itest.kz/ru/endless,STEM,Chemistry,High School,Russian,Chemistry (High School in rus),"Определите массовую долю (%) соли в насыщенном растворе, если растворимость карбоната натрия при 20°С на 1000 г воды равна 218 г.","21,8","17,9","10,8","10,6",,B,test,"Определите массовую долю (%) соли в насыщенном растворе, если растворимость карбоната натрия",при 20°С на 1000 г воды равна 218 г.,"равна 22,4 г/100 г воды.","равна 22,6 г/100 г воды.",0.0,0.0,0.81,0.81
17956,https://itest.kz/ru/endless,STEM,Physics,High School,Russian,Physics (High School in rus),"Какова должна быть масса тела, если при его равномерном движении по горизонтальной поверхности с коэффициентом трения 0,12 на него действует сила трения 18 мН \((g=10\:м/с^2)\)","1,5 кг",15 г,"2,16 кг",15 кг,,B,test,"Какова должна быть масса тела, если при его равномерном движении по горизонтальной поверхности с","коэффициентом трения 0,12 на него действует сила трения 18 мН \((g=10\:м/с^2)\)","скоростью 2 м/с, сила трения составляет 10 Н? (Коэффициент трения равен 0,5)","Какова должна быть масса тела, если при его равномерном движении по горизонтальной поверхности с постоянной скоростью сила трения составляет 20 Н, а коэффициент трения равен 0,4?",0.22,0.2,0.61,0.72
17800,https://itest.kz/kz/endless,STEM,Physics,High School,Kazakh,Physics (High School in kaz),"Әрқайсысының массалары 20 кг екі бірдей дене өзара тартылады. Егер біреуінің массасы 4 кг-ға кемісе, сол қашықтықтағы олардың тартылыс күші","1,25 есе кемиді",2 есе артады,3 есе артады,"1,25 есе артады",,A,test,Әрқайсысының массалары 20 кг екі бірдей дене өзара тартылады.,"Егер біреуінің массасы 4 кг-ға кемісе, сол қашықтықтағы олардың тартылыс күші","Олардың арасындағы қашықтық 1 метр болса, олардың өзара тартылыс күші қандай болады?","Әрқайсысының массалары 20 кг екі бірдей дене өзара тартылады. Осы денелер арасындағы қашықтық 1 метр болса, Ньютонның әмбебап тартылыс заңы бойынша олардың арасындағы тартылыс күшін есептеңіз.",0.0,0.0,0.67,0.74
