question,choice_A,choice_B,choice_C,choice_D,answer,category,split,first_piece,second_piece,generated_guided_completion,generated_general_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion
"Two equal masses are connected to the ends of a spring with a spring constant x. If the masses are symmetrically pulled apart, stretching the spring by an amount x beyond its natural length, what is the work done by the spring on each mass?", – 1/4 kx², – 1/2 kx², 1/2 kx², None of the other choices,A,,val,Two equal masses are connected to the ends of a spring with a spring constant x.,"If the masses are symmetrically pulled apart, stretching the spring by an amount x beyond its natural length, what is the work done by the spring on each mass?",. The system is set into motion by displacing one mass from its equilibrium position and releasing it.,"Two equal masses are connected to the ends of a spring with a spring constant $x$. **If the system is set into oscillation along the line connecting the masses, the center of mass remains stationary while the masses move symmetrically toward and away from each other, resulting in a simple harmonic motion with an angular frequency of $\omega = \sqrt{\frac{2x}{m}}$, where $m$ is the mass of each object.**",0.2,0.17,0.54,0.53
"Who propagated the ""Horizon of Expectations""?", Claudio Guitten, Paul Van Tieghem, Ulrich Weisstein, Hans Robert Jauss,D,,val,"Who propagated the ""Horizon","of Expectations""?","Theory""","Who propagated the ""Horizon of Expectations"" theory, suggesting that the future is not a fixed destination but a construct shaped by our collective hopes and fears?

The answer is **George Orwell**, specifically in his seminal work *1984*. In the novel, the character **O'Brien** explains to Winston Smith that the Party has manipulated history and language to create a new reality where the past is constantly rewritten. The ""Horizon"" in this context refers to the artificial and shifting boundaries of truth and possibility that the Party imposes on its citizens. By controlling the narrative, the Party ensures that the horizon always moves in the direction of total submission, making the concept of a free future impossible to imagine.

However, if the question refers to the famous phrase ""The horizon is the limit of our vision,"" it is often attributed to **William Wordsworth** or **John Muir**, who emphasized the importance of looking beyond immediate constraints. Yet, in the context of political philosophy and dystopian literature, the manipulation of the horizon is most famously explored by **George Orwell**.

**Final Answer:**
The phrase ""Horizon of Expectations"" is most closely associated with **George Orwell** in his dystopian novel *1984*, where the Party manipulates the collective perception of the future to maintain control. Alternatively, the concept of the horizon as a metaphor for human limitation or aspiration is often linked to **William Wordsworth** or **John Muir**. Given the phrasing ""Who propagated,"" the most likely intended answer in a literary context is **George Orwell**.",0.02,0.0,0.48,0.52
What determines the maximum velocity in a sieve-tray column?, Leaking point, Clogging point, Weeping point, Flooding point,D,,val,What determines the maximum velocity,in a sieve-tray column?,of a projectile?,"What determines the maximum velocity of an object in free fall is the acceleration due to gravity and the presence of air resistance. In a vacuum, where air resistance is negligible, an object's velocity increases linearly with time according to the equation $v = gt$, where $g$ is the constant acceleration due to gravity (approximately $9.8 \, \text{m/s}^2$ on Earth). However, in the real world, as an object's speed increases, the upward force of air resistance (drag) also increases until it eventually balances the downward force of gravity. At this point, the net force becomes zero, acceleration ceases, and the object continues to fall at a constant speed known as terminal velocity. Therefore, the maximum velocity is ultimately determined by the object's mass, surface area, shape, and the density of the fluid (air) through which it is moving.",0.03,0.25,0.4,0.41
"In the bacterial realm, a gene situated on which of the following is the LEAST likely to be transferred?", a resistance plasmid, the chromosome, the phage Mu, An F plasmid,B,,val,"In the bacterial realm, a gene situated on which of the",following is the LEAST likely to be transferred?,chromosome is called a plasmid.,"In the bacterial realm, a gene situated on which of the circular DNA molecules is often referred to as a plasmid. These extrachromosomal elements are distinct from the main bacterial chromosome, which is typically a single, large circle of DNA. Plasmids are small, self-replicating DNA molecules that can carry genes conferring advantageous traits, such as antibiotic resistance or the ability to metabolize unusual substances. Unlike the essential genes found on the chromosome, plasmids are not required for basic cellular survival but can be transferred between bacteria through a process called conjugation, facilitating the rapid spread of beneficial traits within a population.",0.09,0.15,0.46,0.47
Which statement accurately reflects the societal significance perspective on news coverage?, It functions on the premise that coverage increases with audience interest., None of the other choices, It treats its issue to appeal and retain its audience., It reflects the news media’s role as providing information citizens need.,D,,val,Which statement accurately reflects the societal significance,perspective on news coverage?,of the Internet in the 21st century?,"Which statement accurately reflects the societal significance of education is that it serves as the primary engine for social mobility, dismantling class barriers by equipping individuals with the knowledge and skills necessary to navigate and improve their economic standing within a community.",0.0,0.0,0.45,0.48
"Pam agrees to purchase a Quotient-brand computer setup from Regal Systems for $5,000, but Regal does not deliver. Instead, Pam buys the computer from another source for $6,500. What would be Pam's measure of damages?"," $1,500 only.", incidental damages only.,$0.00 ," $1,500 plus incidental damages.",D,,val,"Pam agrees to purchase a Quotient-brand computer setup from Regal Systems for $5,000, but Regal does not deliver. Instead, Pam buys the computer from another source for $6,500.",What would be Pam's measure of damages?,Pam can recover the difference between the price she paid and the price she agreed to pay.,"Pam agrees to purchase a Quotient-brand computer setup from Regal Systems for $5,000, but Regal does not deliver. Instead, Pam buys the computer from another source for $6,500. **Pam is entitled to recover the difference between the price she paid and the contract price, plus any incidental damages, but she cannot recover the full $6,500 because she must mitigate her damages by purchasing the goods from a third party at the lowest reasonable price.**",0.05,0.08,0.76,0.79
Which of the following headstreams joins the Ganges last?, Pindar, Bhagirathi, Alaknanda, Mandakini,B,,val,Which of the following headstreams,joins the Ganges last?,of the Mississippi River are:,"Which of the following headstreams
**flows into the great river of time?**",0.12,0.22,0.43,0.38
Who was William Pitt?, relatively sympathetic to American protests during the years after the Seven Years’ War.," both the organizer of British victory in the Seven Years’ War, and relatively sympathetic to American protests during the years after the Seven Years’ War.", the organizer of British victory in the Seven Years’ War., None of these answers is correct.,B,,val,Who was,William Pitt?,the first president of the United States?,"Who was the first person to walk on the moon? It was Neil Armstrong, an American astronaut who became the first human to step onto the lunar surface on July 20, 1969, during the Apollo 11 mission. As he carefully placed his boot on the dusty gray soil, he famously declared, ""That's one small step for [a] man, one giant leap for mankind,"" marking a historic milestone in human exploration and the Space Race.",0.0,0.0,0.32,0.37
"What single discount is equivalent to a series of discounts of 20%, 10%, and 5%?",31.60%,25%,33.50%,30%,A,,val,What single discount is equivalent to a series of,"discounts of 20%, 10%, and 5%?","discounts of 20%, 20%, and 20%?","What single discount is equivalent to a series of **successive discounts?**

This is a common problem in business mathematics and finance. When a series of successive discounts (e.g., 10% followed by 20%) is applied to a price, the total reduction is not simply the sum of the individual percentages (10% + 20% = 30%). Instead, the second discount is applied to the already reduced amount.

To find the equivalent single discount, you can use the following formula:

$$ \text{Equivalent Single Discount} = 1 - [(1 - d_1) \times (1 - d_2) \times \dots \times (1 - d_n)] $$

Where $d_1, d_2, \dots$ are the decimal forms of the successive discounts.

**Example:**
If a series of discounts is **10% and 20%**:
1.  Convert to decimals: $0.10$ and $0.20$.
2.  Calculate the remaining percentage after both discounts:
    $$ (1 - 0.10) \times (1 - 0.20) = 0.90 \times 0.80 = 0.72 $$
    This means 72% of the original price remains.
3.  Calculate the discount:
    $$ 1 - 0.72 = 0.28 $$
    So, the equivalent single discount is **28%**.

**Answer:**
The equivalent single discount is **28%** (in the example of 10% and 20%). Generally, the formula is **$1 - \prod(1 - d_i)$**.",0.05,0.67,0.48,0.83
"In egalitarian households, which role in gender socialization appears to be particularly significant?", neighbors, mothers, fathers, None of these.,C,,val,"In egalitarian households, which role in gender socialization",appears to be particularly significant?,is to be shared equally between men and women.,"In egalitarian households, which role in gender socialization is often redefined to emphasize shared responsibility and mutual respect rather than traditional division of labor?",0.07,0.29,0.56,0.68
