id,domain,subject,question,choice_A,choice_B,choice_C,choice_D,answer,instruction,split,first_piece,second_piece,generated_guided_completion,generated_general_completion,rouge_score_for_general_completion,rouge_score_for_guided_completion,bleurt_score_for_general_completion,bleurt_score_for_guided_completion,icl_evaluation
5249,high_school_psychology,Общество,Что из перечисленного ниже наиболее точно описывает работу нейрона?,"Это происходит постепенно, по мере того как нейрон достигает гиперполяризации.","Это происходит по принципу ""все или ничего"": либо происходит, либо нет.",Его сила уменьшается по мере продвижения вдоль сомы.,Это происходит только в постсинаптическом нейроне.,B,"Реши задачу. В качестве ответа выведи только одну букву в формате ""letter"", где letter - буква, которой соответствует правильный ответ. Тема вопроса:
{subject}
Вопрос:
{text}Ответы:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,Что из перечисленного ниже наиболее,точно описывает работу нейрона?,правильным вариантом ответа,...наиболее правильным ответом в списке.,0.0,0.0,0.37,0.37,No
302,astronomy,Физика,"Плеяды - это открытое звездное скопление, которое играет роль во многих древних историях и известно тем, что содержит ... ярких звезд.",5,7,9,12,B,"Ниже приведен вопрос на определенную профессиональную тематику {subject} и даны варианты ответа A, B, C, D. Гарантируется, что только один из ответов правильный.
Правильно ответьте на вопрос, выбрав букву A, B, C или D:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,"Плеяды - это открытое звездное скопление, которое играет роль во многих древних","историях и известно тем, что содержит ... ярких звезд.",влияние на культуру,во многих древних легендах,0.0,0.0,0.41,0.4,No
13295,security_studies,Политика,Какие из перечисленных ниже идей стали основными в концепции гуманитарной безопасности после выхода Доклада о развитии человека?,Ограничение анализа безопасности военными действиями является слишком строгим.,Безопасность - это спорная концепция.,Фокусирование безопасности только на насильственных конфликтах является слишком ограничивающим.,Все перечисленные варианты.,D,"Дан вопрос по теме {subject}: {text}. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Определи, какой вариант ответа правильный. Напиши только букву этого ответа: A, B, C, D. Ответ:",test,Какие из перечисленных ниже идей стали основными в концепции гуманитарной,безопасности после выхода Доклада о развитии человека?,культуры,и правоприменительной практики.,0.0,0.0,0.45,0.5,No
1618,conceptual_physics,Физика,"Краснота восхода или заката в основном обусловлена светом, который не был",поглощенный,переданный,разбросанный,поляризованный,C,"В вопросе ""{text}"" по теме ""{subject}"" есть только один правильный ответ. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Все варианты индексируются одной буквой. Найди правильный ответ и выведи только его букву. Ответ:",test,Краснота восхода или заката в основном обусловлена,"светом, который не был",толщина атмосферы,рассеянностью солнечного света в атмосфере,0.0,0.0,0.53,0.26,No
2132,elementary_mathematics,Математика,"Пэт подбрасывает баскетбольный мяч 25 раз за 30 секунд. При такой скорости, примерно, сколько раз Пэт подбросит мяч за 150 секунд?",120,125,144,145,B,"Ниже приведен вопрос на определенную профессиональную тематику {subject} и даны варианты ответа A, B, C, D. Гарантируется, что только один из ответов правильный.
Правильно ответьте на вопрос, выбрав букву A, B, C или D:
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,Пэт подбрасывает баскетбольный мяч 25 раз за 30 секунд.,"При такой скорости, примерно, сколько раз Пэт подбросит мяч за 150 секунд?",Сколько очков получит Пэт?,"Только после того как он сделает 25 бросков в течение 30 секунд, его работа считается эффективной.",0.0,0.0,0.64,0.6,No
4205,high_school_macroeconomics,Экономика,"Разница между M1 и M2 заключается в том, что","M1 - это первая ипотека, а M2 - вторая ипотека","M2 - это M1 плюс активы, которые являются более ликвидными",М2 включает сберегательные депозиты,"M1 больше, чем M2",C,"Дан вопрос по теме {subject}: {text}. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Определи, какой вариант ответа правильный. Напиши только букву этого ответа: A, B, C, D. Ответ:",test,Разница между M1 и M2,"заключается в том, что",Опишите различия в методах,"Основными отличиями считаются производительность и автономность. M2 оснащена дополнительными модулями обработки, позволяющими быстрее решать сложные расчеты. В то же время, M1 сохраняет простоту настройки и работает стабильно в стандартных режимах. Выбор в пользу одной или другой модели должен зависеть от конкретных задач, поставленных пользователю, и финансовых возможностей реализации проекта.",0.0,0.0,0.48,0.51,No
8296,moral_disputes,Философия,"По мнению Милля, единственное доказательство того, что что-либо является желательным, заключается в том, что",Бог посчитал это желательным.,эксперты по желательности сочли его желательным.,люди действительно желают этого.,"рациональное понимание показывает, что оно желательно.",C,"Реши задачу по теме {subject}
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,"По мнению Милля, единственное доказательство того, что что-либо","является желательным, заключается в том, что",и свободы воли,только когда он приносит пользу,0.0,0.0,0.41,0.37,No
7525,miscellaneous,Общие факты,Какое звание дает право генералу армии США носить три звезды?,бригадный генерал,генерал-капрал,генерал-лейтенант,генерал-майор,C,"Дан вопрос по теме {subject}: {text}. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Определи, какой вариант ответа правильный. Напиши только букву этого ответа: A, B, C, D. Ответ:",test,Какое звание дает право генералу армии,США носить три звезды?,Выбор одного из вариантов ответа:,Офицерский чин,0.0,0.0,0.4,0.39,No
3297,high_school_european_history,История,"Этот вопрос относится к следующей информации.
""Но ты, мой дорогой Панглосс, - сказал Кандид, - как может быть, что я снова вижу тебя?""
""Это правда, - сказал Панглосс, - что ты видел, как меня вешали….Хирург купил мое тело, привез домой и препарировал меня. Он начал с того, что сделал на мне решающий разрез от пупка до ключицы. Никто не мог быть повешен хуже, чем я. Палач Святой инквизиции был иподьяконом и прекрасно знал, как сжигать людей, но он не привык к повешению. Веревка была мокрой и не скользила должным образом, и, кроме того, она была плохо завязана; короче говоря, я все еще дышал, когда решающий разрез заставил меня издать такой ужасный крик, что мой хирург упал плашмя на спину.…[Наконец он] зашил мои раны; его жена даже ухаживала за мной. К концу пятнадцати дней я был на ногах и....
Однажды мне взбрело в голову зайти в мечеть, где я увидел пожилого имана и очень симпатичную молодую верующую, которая произносила свои молитвы….Она уронила свой букет; я поднял его и преподнес ей с глубоким почтением. Я так долго вручал его, что Иман начал сердиться, и, видя, что я христианин, он позвал на помощь. Они привели меня к кади, который приказал нанести мне сотню ударов плетью по ступням и отправил на галеры. Я был прикован к тому же камбузу и той же скамье, что и молодой барон. На борту этой галеры было четверо молодых людей из Марселя, пять неаполитанских священников и два монаха с Корфу, которые рассказали нам, что подобные приключения происходили ежедневно. Барон утверждал, что он пострадал от большей несправедливости, чем я….Мы постоянно спорили и получили двадцать ударов плетью из бычьей кожи, когда стечение вселенских событий привело тебя на нашу галеру, и ты был достаточно добр, чтобы выкупить нас.""
""Ну, мой дорогой Панглосс, - сказал ему Кандид, - когда тебя вешали, препарировали, били плетьми и ты бил веслом, ты всегда думал, что все происходит к лучшему?""
""Я по-прежнему придерживаюсь своего первого мнения, - ответил Панглосс, - ибо я философ и не могу взять слова обратно, тем более что Лейбниц никогда не мог ошибаться; и, кроме того, предустановленная гармония - прекраснейшая вещь в мире, как и его полнота и materia subtilis"".
Вольтер, французский писатель эпохи просвещения, Кандид, 1759
Темы отрывка и форма, в которой Панглосс рассказывает о них, показывают влияние",Средневековья,Эмпиризма,Рационализма,Романтизма,C,"Вопрос:
{text}. Варианты ответа:
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Используй знания по теме {subject} и выбери правильный ответ. Выведи только одну букву. Ответ:",test,"Этот вопрос относится к следующей информации. ""Но ты, мой дорогой Панглосс, - сказал Кандид, - как может быть, что я снова вижу тебя?"" ""Это правда, - сказал Панглосс, - что ты видел, как меня вешали….Хирург купил мое тело, привез домой и препарировал меня. Он начал с того, что сделал на мне решающий разрез от пупка до ключицы. Никто не мог быть повешен хуже, чем я. Палач Святой инквизиции был иподьяконом и прекрасно знал, как сжигать людей, но он не привык к повешению. Веревка была мокрой и не скользила должным образом, и, кроме того, она была плохо завязана; короче говоря, я все еще дышал, когда решающий разрез заставил меня издать такой ужасный крик, что мой хирург упал плашмя на спину.…[Наконец он] зашил мои раны; его жена даже ухаживала за мной. К концу пятнадцати дней я был на ногах и....
Однажды мне взбрело в голову зайти в мечеть, где я увидел пожилого имана и очень симпатичную молодую верующую, которая произносила свои молитвы….Она уронила свой букет; я поднял его и преподнес ей с глубоким почтением. Я так долго вручал его, что Иман начал сердиться, и, видя, что я христианин, он позвал на помощь. Они привели меня к кади, который приказал нанести мне сотню ударов плетью по ступням и отправил на галеры.","Я был прикован к тому же камбузу и той же скамье, что и молодой барон. На борту этой галеры было четверо молодых людей из Марселя, пять неаполитанских священников и два монаха с Корфу, которые рассказали нам, что подобные приключения происходили ежедневно. Барон утверждал, что он пострадал от большей несправедливости, чем я….Мы постоянно спорили и получили двадцать ударов плетью из бычьей кожи, когда стечение вселенских событий привело тебя на нашу галеру, и ты был достаточно добр, чтобы выкупить нас."" ""Ну, мой дорогой Панглосс, - сказал ему Кандид, - когда тебя вешали, препарировали, били плетьми и ты бил веслом, ты всегда думал, что все происходит к лучшему?"" ""Я по-прежнему придерживаюсь своего первого мнения, - ответил Панглосс, - ибо я философ и не могу взять слова обратно, тем более что Лейбниц никогда не мог ошибаться; и, кроме того, предустановленная гармония - прекраснейшая вещь в мире, как и его полнота и materia subtilis"". Вольтер, французский писатель эпохи просвещения, Кандид, 1759
Темы отрывка и форма, в которой Панглосс рассказывает о них, показывают влияние",\n,,0.0,0.0,0.79,0.79,No
9133,moral_scenarios,Философия,"В каком из этих двух сценариев главный герой (использующий ""я/мне/мой"") совершает поступок, явно противоречащий моральным нормам, принятым в США по состоянию на 2020 год? Сценарий 1 | Я потянул котенка за хвост, что было довольно забавно! Сценарий 2 | Я использую свое медицинское образование для разработки биологического оружия.","Неправильно, Неправильно","Неправильно, Правильно","Правильно, Неправильно","Правильно, Правильно",A,"Найдите правильный ответ на вопрос по теме {subject} в задании ниже. В качестве ответа запишите только одну букву выбранного варианта: A, B, C или D без дополнительных объяснений (единственность решения гарантируется).
{text}
A {option_a}
B {option_b}
C {option_c}
D {option_d}
Ответ:",test,"В каком из этих двух сценариев главный герой (использующий ""я/мне/мой"") совершает поступок, явно противоречащий моральным нормам, принятым в США по состоянию на 2020 год? Сценарий 1 | Я потянул котенка за хвост, что было довольно забавно!",Сценарий 2 | Я использую свое медицинское образование для разработки биологического оружия.,Сенитарий 2 | Лилила кричала и убежала,Сценарий 2 | Я взял чужую вещь без согласия владельца,1.0,1.0,0.75,0.5,No
